# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,1
7000,0,0,1
8000,0,0,2
9000,0,0,4
10000,0,0,4
11000,0,0,4
12000,0,0,7
13000,0,0,8
14000,0,0,8
15000,0,0,10
16000,0,0,12
17000,0,0,12
18000,0,0,13
19000,0,1,14
20000,0,3,14
21000,0,3,15
22000,0,3,16
23000,0,3,16
24000,0,3,17
25000,0,3,18
26000,0,3,18
27000,1,3,18
28000,1,3,19
29000,1,3,20
30000,1,3,20
31000,1,4,21
32000,1,5,23
33000,1,5,25
34000,2,5,25
35000,2,5,25
36000,2,5,27
37000,2,5,29
38000,2,5,29
39000,2,5,31
40000,2,5,31
41000,2,7,33
42000,2,7,34
43000,2,7,34
44000,2,7,35
45000,2,7,37
46000,2,7,37
47000,2,7,38
48000,3,7,38
49000,3,7,39
50000,3,7,41
51000,3,8,42
52000,3,9,43
53000,3,10,43
54000,3,10,43
55000,3,10,43
56000,3,10,43
57000,3,10,43
58000,3,10,43
59000,3,10,45
60000,3,10,45
61000,3,11,45
62000,3,11,46
63000,3,11,46
64000,3,11,46
65000,3,11,48
66000,3,11,49
67000,3,11,49
68000,4,12,50
69000,4,12,52
70000,4,12,53
71000,4,12,53
72000,4,12,54
73000,4,14,55
74000,5,14,57
75000,5,14,57
76000,5,14,58
77000,5,14,59
78000,5,14,61
79000,5,15,61
80000,5,15,61
81000,6,15,62
82000,6,15,64
83000,6,15,65
84000,6,15,65
85000,6,15,65
86000,6,15,66
87000,6,15,66
88000,6,15,67
89000,6,16,68
90000,6,16,68
91000,6,16,69
92000,6,16,70
93000,6,16,70
94000,6,16,70
95000,6,16,70
96000,6,16,70
97000,6,17,70
98000,6,17,70
99000,6,17,71
100000,6,17,71
101000,6,18,71
102000,6,18,72
103000,6,18,72
104000,6,18,72
105000,6,18,73
106000,6,18,73
107000,6,18,74
108000,6,18,75
109000,6,18,76
110000,6,18,76
111000,6,19,77
112000,6,19,78
113000,6,19,79
114000,6,19,80
115000,6,19,80
116000,6,19,81
117000,6,19,81
118000,6,19,82
119000,6,19,82
120000,6,20,82
121000,6,20,83
122000,6,20,84
123000,6,20,84
124000,6,20,84
125000,6,20,85
126000,6,20,86
127000,6,20,86
128000,6,20,86
129000,6,20,86
130000,6,20,87
131000,6,21,88
132000,6,21,88
133000,6,22,89
134000,6,22,90
135000,6,22,91
136000,6,22,92
137000,6,22,94
138000,6,22,95
139000,6,22,97
140000,6,22,97
141000,6,22,98
142000,6,22,100
143000,6,22,101
144000,6,22,102
145000,6,22,103
146000,6,22,103
147000,6,23,103
148000,6,23,103
149000,6,23,103
150000,6,23,103
151000,6,23,104
152000,6,24,106
153000,6,24,106
154000,6,24,107
155000,6,24,108
156000,6,24,108
157000,6,24,110
158000,6,24,110
159000,6,25,110
160000,6,25,111
161000,6,26,111
162000,6,26,111
163000,6,26,112
164000,6,26,112
165000,6,26,112
166000,6,26,112
167000,6,27,115
168000,7,27,115
169000,7,27,115
170000,7,27,116
171000,7,27,117
172000,7,27,117
173000,7,27,117
174000,7,27,117
175000,7,27,117
176000,8,28,118
177000,8,28,120
178000,8,28,120
179000,8,28,120
180000,8,29,120
181000,8,29,120
182000,8,29,121
183000,8,29,122
184000,8,29,123
185000,8,29,124
186000,8,29,124
187000,8,29,125
188000,8,29,127
189000,8,29,127
190000,8,29,127
191000,8,29,128
192000,8,29,130
193000,8,29,130
194000,8,29,130
195000,8,29,131
196000,8,29,131
197000,8,30,131
198000,8,31,132
199000,8,31,133
200000,8,31,135
201000,8,32,137
202000,8,32,137
203000,8,32,137
204000,8,32,137
205000,8,32,137
206000,8,32,137
207000,8,32,137
208000,8,32,137
209000,8,32,138
210000,8,32,138
211000,8,32,138
212000,8,32,139
213000,8,32,139
214000,8,32,139
215000,8,32,140
216000,8,32,140
217000,8,32,143
218000,8,33,144
219000,8,33,144
220000,8,33,145
221000,8,33,146
222000,8,33,146
223000,8,33,146
224000,8,33,146
225000,8,33,148
226000,8,34,148
227000,8,34,148
228000,8,34,149
229000,8,34,150
230000,8,34,150
231000,8,34,150
232000,8,34,150
233000,8,34,150
234000,8,34,151
235000,8,35,151
236000,8,35,152
237000,8,35,152
238000,8,35,154
239000,8,35,154
240000,8,35,154
241000,8,35,155
242000,8,35,156
243000,8,35,157
244000,8,36,158
245000,8,36,160
246000,8,36,160
247000,8,36,162
248000,8,36,162
249000,8,36,162
250000,8,36,164
251000,8,36,165
252000,8,36,165
253000,8,36,166
254000,8,37,167
255000,8,37,167
256000,8,37,168
257000,8,37,170
258000,8,37,170
259000,8,37,171
260000,8,37,172
261000,8,37,172
262000,8,37,173
263000,8,37,173
264000,8,37,173
265000,8,37,174
266000,8,37,175
267000,8,37,176
268000,8,37,176
269000,8,37,179
270000,8,38,179
271000,8,39,180
272000,8,39,180
273000,8,39,180
