# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,3
7000,0,0,3
8000,0,0,4
9000,0,0,5
10000,0,0,6
11000,0,0,7
12000,0,0,8
13000,0,0,9
14000,0,0,10
15000,0,0,12
16000,0,0,12
17000,0,0,13
18000,0,0,14
19000,0,0,15
20000,0,1,15
21000,0,1,17
22000,0,1,17
23000,0,1,18
24000,0,1,19
25000,0,1,19
26000,0,1,19
27000,0,1,19
28000,0,2,19
29000,0,2,22
30000,0,2,23
31000,0,3,23
32000,0,3,24
33000,0,3,25
34000,0,3,28
35000,0,3,28
36000,0,3,30
37000,0,3,32
38000,0,3,32
39000,0,3,35
40000,0,3,37
41000,0,3,38
42000,0,3,40
43000,0,3,41
44000,0,3,42
45000,0,3,43
46000,0,3,43
47000,0,3,45
48000,0,4,47
49000,0,4,47
50000,0,5,47
51000,0,5,47
52000,0,5,47
53000,0,5,47
54000,0,5,48
55000,0,5,49
56000,0,5,49
57000,0,5,50
58000,0,5,50
59000,0,5,50
60000,0,5,50
61000,0,5,50
62000,0,5,50
63000,0,5,50
64000,0,5,50
65000,0,5,51
66000,0,5,51
67000,0,6,51
68000,0,6,53
69000,0,6,53
70000,0,6,55
71000,0,6,55
72000,0,6,56
73000,0,6,57
74000,0,6,58
75000,0,6,59
76000,0,6,61
77000,0,6,61
78000,0,6,62
79000,0,6,63
80000,0,6,64
81000,0,6,64
82000,0,6,65
83000,0,6,66
84000,0,6,67
85000,0,7,70
86000,0,7,72
87000,0,7,74
88000,0,7,75
89000,0,7,75
90000,0,7,77
91000,0,8,79
92000,0,8,80
93000,0,8,81
94000,0,8,83
95000,0,8,84
96000,0,8,85
97000,0,8,87
98000,0,8,88
99000,0,8,89
100000,0,8,90
101000,0,8,92
102000,0,8,95
103000,0,8,95
104000,0,8,96
105000,0,9,99
106000,0,9,101
107000,0,9,101
108000,0,9,104
109000,0,9,105
110000,0,9,105
111000,0,9,108
112000,0,9,109
113000,0,9,109
114000,0,9,111
115000,0,9,113
116000,0,11,113
117000,0,11,114
118000,0,11,115
119000,0,11,117
120000,0,11,117
121000,0,11,119
122000,0,11,120
123000,0,11,120
124000,0,12,121
125000,0,12,122
126000,0,12,124
127000,0,12,125
128000,0,12,127
129000,0,12,127
130000,0,12,127
131000,0,12,128
132000,0,12,128
133000,0,12,130
134000,0,12,130
135000,0,12,130
136000,0,13,131
137000,0,13,134
138000,0,13,134
139000,0,13,135
140000,0,13,137
141000,0,13,137
142000,0,13,138
143000,0,13,139
144000,0,13,139
145000,0,13,140
146000,0,14,143
147000,0,14,143
148000,0,14,144
149000,0,14,146
150000,0,14,148
151000,0,14,149
152000,0,14,150
153000,0,14,150
154000,0,14,152
155000,0,14,152
156000,0,14,153
157000,0,14,154
158000,0,14,155
159000,0,14,155
160000,0,14,156
161000,0,14,157
162000,0,15,157
163000,0,15,157
164000,0,15,158
165000,0,15,158
166000,0,15,159
167000,0,15,161
168000,0,15,162
169000,0,15,163
170000,0,15,163
171000,0,15,164
172000,0,15,165
173000,0,15,165
174000,0,15,165
175000,0,15,165
176000,0,15,166
177000,0,15,167
178000,0,15,167
179000,0,15,168
180000,0,16,170
181000,0,16,172
182000,0,16,172
183000,0,16,174
184000,0,16,174
185000,0,16,175
186000,0,16,175
187000,0,16,175
188000,0,16,177
189000,0,16,177
190000,0,16,178
191000,0,16,179
192000,0,17,180
193000,0,17,180
194000,0,17,181
195000,0,17,182
196000,0,17,183
197000,0,17,183
198000,0,17,185
199000,0,17,187
200000,0,17,188
201000,0,17,188
202000,0,17,190
203000,0,17,190
204000,0,17,191
205000,0,18,194
206000,0,18,194
207000,0,18,194
208000,0,18,195
209000,0,18,196
210000,0,18,197
211000,0,18,198
212000,0,18,200
213000,0,19,201
214000,0,19,202
215000,0,19,202
216000,0,19,203
217000,0,19,205
218000,0,19,207
219000,0,19,207
220000,0,19,207
221000,0,19,209
222000,0,19,210
223000,0,19,212
224000,0,19,212
225000,0,19,214
226000,0,20,216
227000,0,20,216
228000,0,20,216
229000,0,20,217
230000,0,20,217
231000,0,20,217
232000,0,20,218
233000,0,20,219
234000,0,20,219
235000,0,20,220
236000,0,20,222
237000,0,20,223
238000,0,20,225
239000,0,20,226
240000,0,20,228
241000,0,20,229
242000,0,20,229
243000,0,20,229
244000,0,20,230
245000,0,20,230
246000,0,20,231
247000,0,20,232
248000,0,20,232
249000,0,20,233
250000,0,21,233
251000,0,21,234
252000,0,21,234
253000,0,21,235
254000,0,21,237
255000,0,21,237
256000,0,21,239
257000,0,21,241
258000,0,21,242
259000,0,21,244
260000,0,21,246
261000,0,21,246
262000,0,21,250
263000,0,21,250
264000,0,21,252
265000,0,21,253
266000,0,21,253
267000,0,22,256
268000,0,22,258
269000,0,22,259
270000,0,23,259
271000,0,23,260
272000,0,23,263
273000,0,23,265
