# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,2,0,0
4000,3,0,0
5000,3,0,0
6000,6,0,0
7000,7,0,0
8000,8,0,0
9000,9,0,0
10000,11,0,0
11000,11,0,0
12000,11,0,0
13000,12,0,0
14000,12,0,0
15000,12,0,0
16000,13,0,0
17000,14,0,0
18000,14,0,0
19000,16,0,0
20000,16,0,0
21000,16,0,0
22000,18,0,0
23000,19,0,0
24000,19,0,0
25000,19,0,0
26000,20,0,0
27000,21,0,0
28000,22,0,0
29000,22,0,0
30000,23,0,0
31000,23,0,0
32000,23,0,0
33000,24,0,0
34000,25,0,0
35000,25,0,0
36000,25,0,0
37000,26,0,0
38000,26,0,0
39000,26,0,0
40000,27,0,0
41000,28,0,0
42000,28,0,0
43000,28,0,0
44000,29,0,0
45000,30,0,0
46000,30,0,0
47000,31,0,0
48000,31,0,0
49000,31,0,0
50000,32,0,0
51000,33,0,0
52000,33,0,0
53000,33,0,0
54000,35,0,0
55000,35,0,0
56000,35,0,0
57000,36,0,0
58000,36,0,0
59000,36,0,0
60000,36,0,0
61000,37,0,0
62000,37,0,0
63000,37,0,0
64000,39,0,0
65000,40,0,0
66000,41,0,0
67000,41,0,0
68000,41,0,0
69000,41,0,0
70000,42,0,0
71000,42,0,0
72000,42,0,0
73000,43,0,0
74000,44,0,0
75000,44,0,0
76000,44,0,0
77000,45,0,0
78000,46,0,0
79000,46,0,0
80000,46,0,0
81000,46,0,0
82000,47,0,0
83000,47,0,0
84000,48,0,0
85000,49,0,0
86000,49,0,0
87000,49,0,0
88000,50,0,0
89000,51,0,0
90000,51,0,0
91000,51,0,0
92000,52,0,0
93000,53,0,0
94000,54,0,0
95000,56,0,0
96000,56,0,0
97000,56,0,0
98000,58,0,0
99000,59,0,0
100000,60,0,0
101000,60,0,0
102000,61,0,0
103000,61,0,0
104000,61,0,0
105000,61,0,0
106000,61,0,0
107000,61,0,0
108000,62,0,0
109000,63,0,0
110000,63,0,0
111000,63,0,0
112000,63,0,0
113000,63,0,0
114000,63,0,0
115000,63,0,0
116000,64,0,0
117000,66,0,0
118000,66,0,0
119000,66,0,0
120000,67,0,0
121000,68,0,0
122000,68,0,0
123000,68,0,0
124000,68,0,0
125000,68,0,0
126000,68,0,0
127000,69,0,0
128000,70,0,0
129000,70,0,0
130000,70,0,0
131000,70,0,0
132000,70,0,0
133000,70,0,0
134000,70,0,0
135000,70,0,0
136000,70,0,0
137000,70,0,0
138000,70,0,0
139000,70,0,0
140000,70,0,0
141000,70,0,0
142000,72,0,0
143000,72,0,0
144000,73,0,0
145000,74,0,0
146000,74,0,0
147000,75,0,0
148000,75,0,0
149000,75,0,0
150000,76,0,0
151000,77,0,0
152000,77,0,0
153000,77,0,0
154000,77,0,0
155000,78,0,0
156000,79,0,0
157000,79,0,0
158000,79,0,0
159000,80,0,0
160000,80,0,0
161000,80,0,0
162000,81,0,0
163000,81,0,0
164000,81,0,0
165000,82,0,0
166000,82,0,0
167000,82,0,0
168000,83,0,0
169000,85,0,0
170000,85,0,0
171000,86,0,0
172000,86,0,0
173000,86,0,0
174000,87,0,0
175000,87,0,0
176000,88,0,0
177000,89,0,0
178000,89,0,0
179000,90,0,0
180000,90,0,0
181000,90,0,0
182000,92,0,0
183000,92,0,0
184000,92,0,0
185000,92,0,0
186000,93,0,0
187000,93,0,0
188000,94,0,0
189000,95,0,0
190000,95,0,0
191000,95,0,0
192000,96,0,0
193000,96,0,0
194000,96,0,0
195000,96,0,0
196000,97,0,0
197000,97,0,0
198000,97,0,0
199000,98,0,0
200000,99,0,0
201000,100,0,0
202000,100,0,0
203000,100,0,0
204000,101,0,0
205000,102,0,0
206000,102,0,0
207000,102,0,0
208000,102,0,0
209000,102,0,0
210000,102,0,0
211000,103,0,0
212000,103,0,0
213000,103,0,0
214000,105,0,0
215000,106,0,0
216000,106,0,0
217000,106,0,0
218000,107,0,0
219000,107,0,0
220000,108,0,0
221000,109,0,0
222000,109,0,0
223000,110,0,0
224000,110,0,0
225000,112,0,0
226000,113,0,0
227000,113,0,0
228000,113,0,0
229000,114,0,0
230000,114,0,0
231000,114,0,0
232000,116,0,0
233000,116,0,0
234000,117,0,0
235000,118,0,0
236000,118,0,0
237000,118,0,0
238000,118,0,0
239000,118,0,0
240000,119,0,0
241000,119,0,0
242000,119,0,0
243000,120,0,0
244000,121,0,0
245000,122,0,0
246000,122,0,0
247000,122,0,0
248000,123,0,0
249000,123,0,0
250000,124,0,0
251000,125,0,0
252000,126,0,0
253000,126,0,0
254000,127,0,0
255000,127,0,0
256000,127,0,0
257000,127,0,0
258000,128,0,0
259000,129,0,0
260000,129,0,0
261000,129,0,0
262000,129,0,0
263000,131,0,0
264000,132,0,0
265000,132,0,0
266000,132,0,0
267000,134,0,0
268000,134,0,0
269000,134,0,0
270000,134,0,0
271000,134,0,0
272000,134,0,0
273000,134,0,0
