# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,1,0,0
3000,4,0,0
4000,5,0,0
5000,7,0,0
6000,9,0,0
7000,11,0,0
8000,14,0,0
9000,15,0,0
10000,15,0,0
11000,19,0,0
12000,20,0,0
13000,20,0,0
14000,21,0,0
15000,22,0,0
16000,24,0,0
17000,27,0,0
18000,30,0,0
19000,32,0,0
20000,35,0,0
21000,37,0,0
22000,41,0,0
23000,43,0,0
24000,44,0,0
25000,45,0,0
26000,46,0,0
27000,50,0,0
28000,52,0,0
29000,54,0,0
30000,55,0,0
31000,57,0,0
32000,58,0,0
33000,61,0,0
34000,66,0,0
35000,69,0,0
36000,70,0,0
37000,72,0,0
38000,74,0,0
39000,74,0,0
40000,75,0,0
41000,76,0,0
42000,78,0,0
43000,79,0,0
44000,79,0,0
45000,81,0,0
46000,83,0,0
47000,83,0,0
48000,85,0,0
49000,87,0,0
50000,89,0,0
51000,93,0,0
52000,95,0,0
53000,97,0,0
54000,100,0,0
55000,101,0,0
56000,104,0,0
57000,106,0,0
58000,109,0,0
59000,112,0,0
60000,113,0,0
61000,114,0,0
62000,118,0,0
63000,120,0,0
64000,122,0,0
65000,123,0,0
66000,125,0,0
67000,128,0,0
68000,129,0,0
69000,131,0,0
70000,131,0,0
71000,131,0,0
72000,132,0,0
73000,137,0,0
74000,139,0,0
75000,142,0,0
76000,143,0,0
77000,145,0,0
78000,146,0,0
79000,148,0,0
80000,150,0,0
81000,152,0,0
82000,155,0,0
83000,155,0,0
84000,157,0,0
85000,159,0,0
86000,161,0,0
87000,163,0,0
88000,163,0,0
89000,166,0,0
90000,168,0,0
91000,169,0,0
92000,172,0,0
93000,173,0,0
94000,175,0,0
95000,179,0,0
96000,179,0,0
97000,182,0,0
98000,183,0,0
99000,185,0,0
100000,188,0,0
101000,189,0,0
102000,191,0,0
103000,191,0,0
104000,195,0,0
105000,198,0,0
106000,199,0,0
107000,200,0,0
108000,201,0,0
109000,205,0,0
110000,208,0,0
111000,210,0,0
112000,210,0,0
113000,214,0,0
114000,217,0,0
115000,217,0,0
116000,220,0,0
117000,222,0,0
118000,222,0,0
119000,224,0,0
120000,226,0,0
121000,227,0,0
122000,230,0,0
123000,231,0,0
124000,234,0,0
125000,234,0,0
126000,238,0,0
127000,241,0,0
128000,245,0,0
129000,247,0,0
130000,249,0,0
131000,250,0,0
132000,251,0,0
133000,252,0,0
134000,254,0,0
135000,255,0,0
136000,258,0,0
137000,260,0,0
138000,261,0,0
139000,265,0,0
140000,268,0,0
141000,272,0,0
142000,273,0,0
143000,278,0,0
144000,280,0,0
145000,283,0,0
146000,284,0,0
147000,288,0,0
148000,290,0,0
149000,291,0,0
150000,292,0,0
151000,294,0,0
152000,297,0,0
153000,298,0,0
154000,300,0,0
155000,301,0,0
156000,303,0,0
157000,304,0,0
158000,309,0,0
159000,312,0,0
160000,313,0,0
161000,314,0,0
162000,318,0,0
163000,319,0,0
164000,320,0,0
165000,320,0,0
166000,324,0,0
167000,325,0,0
168000,325,0,0
169000,327,0,0
170000,330,0,0
171000,330,0,0
172000,332,0,0
173000,336,0,0
174000,337,0,0
175000,340,0,0
176000,341,0,0
177000,344,0,0
178000,346,0,0
179000,348,0,0
180000,351,0,0
181000,354,0,0
182000,359,0,0
183000,359,0,0
184000,361,0,0
185000,363,0,0
186000,368,0,0
187000,369,0,0
188000,372,0,0
189000,374,0,0
190000,375,0,0
191000,378,0,0
192000,382,0,0
193000,384,0,0
194000,386,0,0
195000,388,0,0
196000,389,0,0
197000,394,0,0
198000,394,0,0
199000,399,0,0
200000,403,0,0
201000,404,0,0
202000,407,0,0
203000,409,0,0
204000,409,0,0
205000,411,0,0
206000,413,0,0
207000,415,0,0
208000,417,0,0
209000,418,0,0
210000,420,0,0
211000,421,0,0
212000,421,0,0
213000,426,0,0
214000,427,0,0
215000,430,0,0
216000,434,0,0
217000,435,0,0
218000,436,0,0
219000,436,0,0
220000,438,0,0
221000,440,0,0
222000,441,0,0
223000,442,0,0
224000,444,0,0
225000,444,0,0
226000,445,0,0
227000,447,0,0
228000,449,0,0
229000,454,0,0
230000,455,0,0
231000,457,0,0
232000,458,0,0
233000,460,0,0
234000,462,0,0
235000,464,0,0
236000,465,0,0
237000,466,0,0
238000,468,0,0
239000,470,0,0
240000,473,0,0
241000,475,0,0
242000,476,0,0
243000,478,0,0
244000,480,0,0
245000,483,0,0
246000,484,0,0
247000,485,0,0
248000,486,0,0
249000,489,0,0
250000,490,0,0
251000,492,0,0
252000,494,0,0
253000,497,0,0
254000,497,0,0
255000,501,0,0
256000,502,0,0
257000,503,0,0
258000,505,0,0
259000,506,0,0
260000,508,0,0
261000,510,0,0
262000,512,0,0
263000,514,0,0
264000,516,0,0
265000,520,0,0
266000,522,0,0
267000,525,0,0
268000,526,0,0
269000,527,0,0
270000,528,0,0
271000,529,0,0
272000,530,0,0
273000,532,0,0
274000,533,0,0
275000,535,0,0
276000,540,0,0
277000,543,0,0
278000,545,0,0
279000,547,0,0
280000,549,0,0
281000,550,0,0
282000,552,0,0
283000,554,0,0
284000,555,0,0
285000,557,0,0
286000,558,0,0
287000,561,0,0
288000,563,0,0
289000,565,0,0
290000,566,0,0
291000,569,0,0
292000,570,0,0
293000,575,0,0
294000,575,0,0
