# clock,collected_food,avarage per 100 steps
1000,0,0
2000,2,1
3000,5,1.66667
4000,9,2.25
5000,11,2.2
6000,16,2.66667
7000,17,2.42857
8000,20,2.5
9000,24,2.66667
10000,26,2.6
11000,29,2.63636
12000,34,2.83333
13000,37,2.84615
14000,41,2.92857
15000,44,2.93333
16000,47,2.9375
17000,50,2.94118
18000,54,3
19000,56,2.94737
20000,58,2.9
21000,62,2.95238
22000,65,2.95455
23000,67,2.91304
24000,70,2.91667
25000,75,3
26000,76,2.92308
27000,81,3
28000,84,3
29000,87,3
30000,90,3
31000,94,3.03226
32000,96,3
33000,99,3
34000,103,3.02941
35000,104,2.97143
36000,107,2.97222
37000,111,3
38000,113,2.97368
39000,116,2.97436
40000,120,3
41000,123,3
42000,127,3.02381
43000,129,3
44000,132,3
45000,139,3.08889
46000,143,3.1087
47000,146,3.10638
48000,150,3.125
49000,156,3.18367
50000,160,3.2
51000,164,3.21569
52000,168,3.23077
53000,171,3.22642
54000,176,3.25926
55000,180,3.27273
56000,185,3.30357
57000,185,3.24561
58000,190,3.27586
59000,192,3.25424
60000,197,3.28333
61000,201,3.29508
62000,203,3.27419
63000,210,3.33333
64000,211,3.29688
65000,215,3.30769
66000,217,3.28788
67000,222,3.31343
68000,225,3.30882
69000,229,3.31884
70000,234,3.34286
71000,236,3.32394
72000,240,3.33333
73000,244,3.34247
74000,248,3.35135
75000,251,3.34667
76000,257,3.38158
77000,259,3.36364
78000,263,3.37179
79000,266,3.36709
80000,271,3.3875
81000,273,3.37037
82000,276,3.36585
83000,280,3.37349
84000,286,3.40476
85000,288,3.38824
86000,291,3.38372
87000,296,3.4023
88000,300,3.40909
89000,301,3.38202
90000,306,3.4
91000,311,3.41758
92000,315,3.42391
93000,317,3.4086
94000,321,3.41489
95000,325,3.42105
96000,329,3.42708
97000,332,3.42268
98000,334,3.40816
99000,338,3.41414
100000,341,3.41
