# clock,collected_food,avarage per 100 steps
1000,0,0
2000,4,2
3000,11,3.66667
4000,18,4.5
5000,23,4.6
6000,24,4
7000,32,4.57143
8000,36,4.5
9000,45,5
10000,48,4.8
11000,53,4.81818
12000,59,4.91667
13000,66,5.07692
14000,71,5.07143
15000,75,5
16000,80,5
17000,84,4.94118
18000,88,4.88889
19000,95,5
20000,100,5
21000,105,5
22000,112,5.09091
23000,118,5.13043
24000,121,5.04167
25000,126,5.04
26000,132,5.07692
27000,135,5
28000,140,5
29000,142,4.89655
30000,146,4.86667
31000,150,4.83871
32000,152,4.75
33000,161,4.87879
34000,165,4.85294
35000,170,4.85714
36000,177,4.91667
37000,179,4.83784
38000,184,4.84211
39000,188,4.82051
40000,191,4.775
41000,194,4.73171
42000,196,4.66667
43000,199,4.62791
44000,203,4.61364
45000,211,4.68889
46000,217,4.71739
47000,221,4.70213
48000,225,4.6875
49000,228,4.65306
50000,236,4.72
51000,239,4.68627
52000,245,4.71154
53000,249,4.69811
54000,254,4.7037
55000,259,4.70909
56000,265,4.73214
57000,270,4.73684
58000,275,4.74138
59000,280,4.74576
60000,282,4.7
61000,288,4.72131
62000,294,4.74194
63000,297,4.71429
64000,301,4.70312
65000,308,4.73846
66000,313,4.74242
67000,317,4.73134
68000,321,4.72059
69000,326,4.72464
70000,327,4.67143
71000,334,4.70423
72000,338,4.69444
73000,344,4.71233
74000,348,4.7027
75000,353,4.70667
76000,356,4.68421
77000,360,4.67532
78000,365,4.67949
79000,369,4.67089
80000,373,4.6625
81000,376,4.64198
82000,379,4.62195
83000,383,4.61446
84000,389,4.63095
85000,392,4.61176
86000,396,4.60465
87000,400,4.5977
88000,406,4.61364
89000,410,4.60674
90000,418,4.64444
91000,425,4.67033
92000,432,4.69565
93000,436,4.68817
94000,441,4.69149
95000,449,4.72632
96000,451,4.69792
97000,457,4.71134
98000,463,4.72449
99000,466,4.70707
100000,474,4.74
