# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,2
3000,2,0,5
4000,2,0,7
5000,4,0,9
6000,5,1,9
7000,6,1,11
8000,7,1,13
9000,9,2,14
10000,11,3,15
11000,13,3,16
12000,14,3,18
13000,15,3,21
14000,16,4,21
15000,18,4,22
16000,18,5,24
17000,20,5,26
18000,22,7,28
19000,24,8,29
20000,25,8,33
21000,26,8,36
22000,26,9,39
23000,29,10,41
24000,29,10,43
25000,30,11,46
26000,31,12,49
27000,33,13,51
28000,34,14,53
29000,35,14,54
30000,36,15,57
31000,38,16,59
32000,38,17,61
33000,40,17,61
34000,40,17,61
35000,42,17,64
36000,43,20,66
37000,44,21,68
38000,47,21,70
39000,48,21,71
40000,49,22,73
41000,51,23,77
42000,51,25,79
43000,53,25,79
44000,55,25,82
45000,55,26,84
46000,59,26,86
47000,59,28,86
48000,59,28,89
49000,59,29,90
50000,62,30,92
51000,62,30,96
52000,65,31,96
53000,65,32,98
54000,67,33,100
55000,68,33,100
56000,69,33,102
57000,70,34,104
58000,72,36,106
59000,73,36,106
60000,73,36,107
61000,76,36,109
62000,76,36,113
63000,77,38,115
64000,78,39,118
65000,80,39,122
66000,82,39,124
67000,83,40,125
68000,84,41,127
69000,84,43,129
70000,85,43,131
71000,85,43,131
72000,87,43,133
73000,87,43,135
74000,88,45,135
75000,90,45,136
76000,91,45,137
77000,93,45,140
78000,94,45,141
79000,94,47,145
80000,94,48,148
81000,94,48,150
82000,94,49,151
83000,94,51,157
84000,94,52,160
85000,94,52,162
86000,94,52,165
87000,94,53,166
88000,95,54,169
89000,95,54,171
90000,95,55,171
91000,96,56,172
92000,96,57,173
93000,97,57,176
94000,99,57,176
95000,100,58,178
96000,100,58,178
97000,101,58,178
98000,101,59,182
99000,102,59,184
100000,102,60,185
