# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,1
3000,0,0,4
4000,1,0,6
5000,1,0,7
6000,2,0,10
7000,2,1,12
8000,2,1,15
9000,4,1,15
10000,4,1,16
11000,4,1,18
12000,6,1,19
13000,6,2,20
14000,6,3,22
15000,7,3,25
16000,8,4,26
17000,8,5,27
18000,9,5,29
19000,9,6,30
20000,9,6,33
21000,11,6,33
22000,11,7,35
23000,12,8,35
24000,12,8,35
25000,14,8,36
26000,15,10,37
27000,16,10,38
28000,16,11,38
29000,19,11,38
30000,19,11,38
31000,20,11,40
32000,23,13,41
33000,24,13,42
34000,25,14,44
35000,28,14,45
36000,28,14,47
37000,30,15,48
38000,30,15,51
39000,32,15,54
40000,34,17,55
41000,35,17,56
42000,37,17,59
43000,38,18,60
44000,40,19,61
45000,41,19,62
46000,41,19,62
47000,41,19,65
48000,43,20,65
49000,43,20,67
50000,45,21,67
51000,47,21,67
52000,48,21,68
53000,49,21,71
54000,49,22,74
55000,50,22,75
56000,50,24,75
57000,52,24,76
58000,53,24,78
59000,54,25,79
60000,55,26,81
61000,56,26,84
62000,57,27,84
63000,58,27,85
64000,59,27,89
65000,61,29,89
66000,61,29,92
67000,62,30,93
68000,63,30,93
69000,64,30,95
70000,65,31,98
71000,65,32,99
72000,67,32,100
73000,68,32,102
74000,70,32,102
75000,70,34,103
76000,73,34,104
77000,73,34,108
78000,75,35,108
79000,76,35,109
80000,77,35,111
81000,78,37,114
82000,78,38,115
83000,80,39,116
84000,82,39,116
85000,83,39,116
86000,86,39,117
87000,86,41,118
88000,86,43,119
89000,90,43,120
90000,90,43,121
91000,92,44,121
92000,93,45,122
93000,94,46,124
94000,95,46,127
95000,95,47,128
96000,97,48,128
97000,98,49,131
98000,99,49,135
99000,100,50,137
100000,101,51,137
