# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,1,0,0
7000,1,0,0
8000,1,1,0
9000,1,1,0
10000,2,1,0
11000,2,1,0
12000,2,1,3
13000,2,1,3
14000,2,1,3
15000,2,2,4
16000,3,2,4
17000,4,2,5
18000,5,3,7
19000,5,3,7
20000,5,3,8
21000,5,3,10
22000,6,3,10
23000,6,4,11
24000,6,4,12
25000,6,4,12
26000,7,4,12
27000,7,4,13
28000,8,5,14
29000,8,5,16
30000,8,5,16
31000,8,5,17
32000,8,5,18
33000,8,6,18
34000,8,6,20
35000,8,6,20
36000,8,6,20
37000,8,6,21
38000,8,6,21
39000,8,6,21
40000,9,6,21
41000,9,7,22
42000,9,7,23
43000,9,7,24
44000,9,7,24
45000,9,7,25
46000,9,7,27
47000,9,9,29
48000,9,9,30
49000,9,9,30
50000,9,9,31
51000,9,9,33
52000,9,10,34
53000,9,10,35
54000,11,10,35
55000,11,10,35
56000,11,10,36
57000,11,11,36
58000,12,13,38
59000,12,13,38
60000,12,13,39
61000,12,13,39
62000,12,13,41
63000,12,14,45
64000,13,15,46
65000,13,15,46
66000,13,16,46
67000,13,16,48
68000,13,16,48
69000,13,17,50
70000,13,18,51
71000,13,18,52
72000,13,19,53
73000,13,20,53
74000,13,20,53
75000,13,21,54
76000,13,21,54
77000,13,21,55
78000,13,23,58
79000,13,23,58
80000,13,23,59
81000,13,24,59
82000,14,24,60
83000,14,25,60
84000,15,25,60
85000,15,25,61
86000,16,25,61
87000,16,25,62
88000,16,26,63
89000,16,28,64
90000,17,28,64
91000,17,28,64
92000,18,28,65
93000,18,28,65
94000,18,29,66
95000,18,30,68
96000,19,31,68
97000,19,31,68
98000,20,31,68
99000,22,31,68
100000,22,31,68
