# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,2
3000,1,0,4
4000,2,0,4
5000,3,0,5
6000,3,1,5
7000,3,1,5
8000,4,1,5
9000,4,1,6
10000,5,2,7
11000,5,2,9
12000,6,2,10
13000,7,2,10
14000,7,2,10
15000,7,3,10
16000,8,3,10
17000,9,3,10
18000,9,3,12
19000,10,4,12
20000,10,4,13
21000,11,4,15
22000,11,5,15
23000,11,5,19
24000,12,5,19
25000,12,5,19
26000,12,6,20
27000,12,6,20
28000,12,6,22
29000,12,6,23
30000,12,6,24
31000,12,6,24
32000,12,7,24
33000,12,7,27
34000,12,8,27
35000,12,8,27
36000,12,8,27
37000,13,8,27
38000,13,8,28
39000,14,10,29
40000,14,10,31
41000,14,10,31
42000,14,10,33
43000,16,10,34
44000,17,11,35
45000,17,11,37
46000,17,12,38
47000,17,12,39
48000,17,12,41
49000,17,12,42
50000,17,12,42
51000,17,12,45
52000,17,12,45
53000,17,12,45
54000,17,12,45
55000,17,12,47
56000,17,13,48
57000,18,14,50
58000,18,14,50
59000,18,14,50
60000,18,14,50
61000,19,14,51
62000,19,14,52
63000,21,15,55
64000,22,16,57
65000,22,16,57
66000,22,16,58
67000,22,16,61
68000,22,16,61
69000,22,16,62
70000,23,16,62
71000,23,18,62
72000,23,18,63
73000,23,19,64
74000,23,19,64
75000,23,20,65
76000,23,20,66
77000,24,20,69
78000,24,20,70
79000,24,21,70
80000,25,21,72
81000,25,21,72
82000,25,21,74
83000,25,21,75
84000,27,21,77
85000,28,22,77
86000,28,23,78
87000,28,23,79
88000,28,23,79
89000,29,23,79
90000,29,23,81
91000,30,24,83
92000,31,24,84
93000,31,24,84
94000,31,24,84
95000,31,24,84
96000,31,25,84
97000,32,26,84
98000,32,26,85
99000,32,26,87
100000,32,26,87
