# clock,collected_food,avarage per 100 steps
1000,0,0
2000,4,2
3000,7,2.33333
4000,10,2.5
5000,13,2.6
6000,18,3
7000,21,3
8000,25,3.125
9000,29,3.22222
10000,34,3.4
11000,39,3.54545
12000,43,3.58333
13000,47,3.61538
14000,50,3.57143
15000,54,3.6
16000,57,3.5625
17000,62,3.64706
18000,67,3.72222
19000,73,3.84211
20000,77,3.85
21000,79,3.7619
22000,83,3.77273
23000,88,3.82609
24000,93,3.875
25000,97,3.88
26000,104,4
27000,109,4.03704
28000,114,4.07143
29000,116,4
30000,121,4.03333
31000,125,4.03226
32000,131,4.09375
33000,133,4.0303
34000,136,4
35000,144,4.11429
36000,146,4.05556
37000,149,4.02703
38000,153,4.02632
39000,160,4.10256
40000,162,4.05
41000,164,4
42000,169,4.02381
43000,172,4
44000,177,4.02273
45000,181,4.02222
46000,184,4
47000,188,4
48000,195,4.0625
49000,197,4.02041
50000,199,3.98
51000,204,4
52000,209,4.01923
53000,212,4
54000,215,3.98148
55000,220,4
56000,225,4.01786
57000,229,4.01754
58000,232,4
59000,236,4
60000,239,3.98333
61000,246,4.03279
62000,251,4.04839
63000,253,4.01587
64000,259,4.04688
65000,264,4.06154
66000,266,4.0303
67000,270,4.02985
68000,275,4.04412
69000,278,4.02899
70000,281,4.01429
71000,284,4
72000,290,4.02778
73000,296,4.05479
74000,299,4.04054
75000,304,4.05333
76000,310,4.07895
77000,312,4.05195
78000,317,4.0641
79000,321,4.06329
80000,326,4.075
81000,329,4.06173
82000,333,4.06098
83000,337,4.06024
84000,340,4.04762
85000,345,4.05882
86000,349,4.05814
87000,354,4.06897
88000,360,4.09091
89000,363,4.07865
90000,367,4.07778
91000,374,4.10989
92000,377,4.09783
93000,380,4.08602
94000,387,4.11702
95000,389,4.09474
96000,392,4.08333
97000,399,4.1134
98000,401,4.09184
99000,406,4.10101
100000,413,4.13
