# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,2
4000,0,0,3
5000,0,0,3
6000,0,1,5
7000,1,1,5
8000,1,1,5
9000,1,1,7
10000,2,1,7
11000,2,2,7
12000,3,2,9
13000,3,3,9
14000,3,3,9
15000,4,3,9
16000,4,3,10
17000,4,4,11
18000,5,5,12
19000,5,5,12
20000,6,5,13
21000,6,5,13
22000,6,6,13
23000,7,7,14
24000,7,7,16
25000,8,7,16
26000,8,7,18
27000,8,7,19
28000,9,9,19
29000,9,9,20
30000,10,9,22
31000,10,9,23
32000,10,9,24
33000,11,9,25
34000,11,9,26
35000,12,10,26
36000,12,10,27
37000,12,10,27
38000,13,10,28
39000,13,10,30
40000,14,11,31
41000,14,11,31
42000,15,11,33
43000,15,12,34
44000,15,12,34
45000,16,12,36
46000,16,12,36
47000,18,12,37
48000,18,12,37
49000,18,13,38
50000,20,13,38
