# clock,robot type,collected_food,average per 1000 steps
1000,SOLITARY,0,0
1000,RECRUITER,0,0
1000,RECRUITEE,0,0
2000,SOLITARY,0,0
2000,RECRUITER,0,0
2000,RECRUITEE,2,1
3000,SOLITARY,0,0
3000,RECRUITER,0,0
3000,RECRUITEE,4,1.33333
4000,SOLITARY,1,0.25
4000,RECRUITER,1,0.25
4000,RECRUITEE,6,1.5
5000,SOLITARY,1,0.2
5000,RECRUITER,1,0.2
5000,RECRUITEE,6,1.2
6000,SOLITARY,1,0.166667
6000,RECRUITER,1,0.166667
6000,RECRUITEE,9,1.5
7000,SOLITARY,1,0.142857
7000,RECRUITER,1,0.142857
7000,RECRUITEE,9,1.28571
8000,SOLITARY,1,0.125
8000,RECRUITER,2,0.25
8000,RECRUITEE,10,1.25
9000,SOLITARY,2,0.222222
9000,RECRUITER,2,0.222222
9000,RECRUITEE,11,1.22222
10000,SOLITARY,3,0.3
10000,RECRUITER,2,0.2
10000,RECRUITEE,12,1.2
11000,SOLITARY,3,0.272727
11000,RECRUITER,4,0.363636
11000,RECRUITEE,13,1.18182
12000,SOLITARY,4,0.333333
12000,RECRUITER,4,0.333333
12000,RECRUITEE,16,1.33333
13000,SOLITARY,5,0.384615
13000,RECRUITER,5,0.384615
13000,RECRUITEE,18,1.38462
14000,SOLITARY,6,0.428571
14000,RECRUITER,6,0.428571
14000,RECRUITEE,20,1.42857
15000,SOLITARY,6,0.4
15000,RECRUITER,6,0.4
15000,RECRUITEE,20,1.33333
16000,SOLITARY,8,0.5
16000,RECRUITER,6,0.375
16000,RECRUITEE,23,1.4375
17000,SOLITARY,9,0.529412
17000,RECRUITER,9,0.529412
17000,RECRUITEE,26,1.52941
18000,SOLITARY,10,0.555556
18000,RECRUITER,9,0.5
18000,RECRUITEE,26,1.44444
19000,SOLITARY,12,0.631579
19000,RECRUITER,10,0.526316
19000,RECRUITEE,27,1.42105
20000,SOLITARY,13,0.65
20000,RECRUITER,10,0.5
20000,RECRUITEE,28,1.4
21000,SOLITARY,14,0.666667
21000,RECRUITER,11,0.52381
21000,RECRUITEE,34,1.61905
22000,SOLITARY,15,0.681818
22000,RECRUITER,12,0.545455
