# clock,robot type,collected_food,average per 1000 steps
1000,SOLITARY,0,0
1000,RECRUITER,0,0
1000,RECRUITEE,0,0
2000,SOLITARY,2,1
2000,RECRUITER,0,0
2000,RECRUITEE,1,0.5
3000,SOLITARY,2,0.666667
3000,RECRUITER,0,0
3000,RECRUITEE,5,1.66667
4000,SOLITARY,2,0.5
4000,RECRUITER,1,0.25
4000,RECRUITEE,7,1.75
5000,SOLITARY,3,0.6
5000,RECRUITER,1,0.2
5000,RECRUITEE,10,2
6000,SOLITARY,4,0.666667
6000,RECRUITER,2,0.333333
6000,RECRUITEE,13,2.16667
7000,SOLITARY,5,0.714286
7000,RECRUITER,2,0.285714
7000,RECRUITEE,18,2.57143
8000,SOLITARY,5,0.625
8000,RECRUITER,2,0.25
8000,RECRUITEE,20,2.5
9000,SOLITARY,7,0.777778
9000,RECRUITER,2,0.222222
9000,RECRUITEE,23,2.55556
10000,SOLITARY,7,0.7
10000,RECRUITER,2,0.2
10000,RECRUITEE,28,2.8
11000,SOLITARY,8,0.727273
11000,RECRUITER,2,0.181818
11000,RECRUITEE,31,2.81818
12000,SOLITARY,9,0.75
12000,RECRUITER,4,0.333333
12000,RECRUITEE,33,2.75
13000,SOLITARY,9,0.692308
13000,RECRUITER,5,0.384615
13000,RECRUITEE,39,3
14000,SOLITARY,9,0.642857
14000,RECRUITER,5,0.357143
14000,RECRUITEE,39,2.78571
15000,SOLITARY,10,0.666667
15000,RECRUITER,6,0.4
15000,RECRUITEE,40,2.66667
16000,SOLITARY,10,0.625
16000,RECRUITER,7,0.4375
16000,RECRUITEE,46,2.875
17000,SOLITARY,11,0.647059
17000,RECRUITER,8,0.470588
17000,RECRUITEE,46,2.70588
18000,SOLITARY,13,0.722222
18000,RECRUITER,8,0.444444
18000,RECRUITEE,49,2.72222
19000,SOLITARY,14,0.736842
19000,RECRUITER,9,0.473684
19000,RECRUITEE,51,2.68421
20000,SOLITARY,15,0.75
20000,RECRUITER,9,0.45
20000,RECRUITEE,52,2.6
21000,SOLITARY,16,0.761905
21000,RECRUITER,9,0.428571
21000,RECRUITEE,58,2.7619
22000,SOLITARY,16,0.727273
22000,RECRUITER,10,0.454545
