# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,2
3000,1,0,4
4000,1,1,4
5000,1,1,5
6000,1,1,6
7000,2,1,7
8000,2,2,9
9000,2,2,10
10000,2,2,10
11000,2,3,12
12000,2,3,12
13000,2,4,15
14000,2,4,15
15000,2,5,16
16000,3,5,18
17000,3,5,18
18000,3,5,20
19000,4,5,20
20000,5,6,22
21000,5,7,22
22000,5,7,24
23000,6,7,25
24000,7,7,25
25000,7,7,26
26000,7,8,27
27000,8,9,28
28000,8,9,28
29000,8,9,28
30000,8,9,29
31000,9,10,31
32000,9,10,32
33000,9,11,33
34000,10,11,34
35000,10,11,34
36000,12,11,35
37000,12,11,35
38000,13,11,36
39000,13,11,36
40000,13,12,36
41000,14,12,36
42000,14,12,38
43000,15,12,39
44000,15,12,40
45000,15,12,40
46000,15,13,42
47000,15,13,42
48000,15,13,43
49000,16,13,44
50000,16,13,46
