# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,1
3000,0,0,2
4000,0,0,2
5000,0,2,4
6000,0,2,4
7000,0,2,4
8000,0,3,4
9000,0,3,5
10000,0,4,6
11000,0,5,7
12000,0,5,8
13000,0,5,8
14000,0,5,9
15000,1,6,9
16000,1,6,11
17000,1,6,12
18000,1,6,13
19000,1,6,16
20000,1,7,16
21000,1,7,17
22000,1,7,17
23000,1,7,18
24000,2,8,18
25000,4,8,20
26000,4,8,20
27000,5,8,20
28000,6,9,23
29000,7,10,24
30000,7,10,25
31000,7,10,26
32000,8,10,26
33000,8,11,26
34000,9,11,27
35000,9,11,27
36000,10,11,27
37000,11,11,27
38000,11,11,27
39000,12,11,28
40000,12,13,30
41000,12,13,30
42000,12,13,31
43000,14,13,32
44000,15,13,32
45000,16,14,33
46000,16,15,33
47000,18,15,33
48000,18,15,34
49000,19,15,35
50000,20,16,35
