# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,2
3000,1,0,4
4000,2,0,4
5000,3,0,5
6000,3,1,5
7000,4,1,5
8000,4,1,6
9000,4,1,6
10000,4,2,6
11000,4,3,8
12000,5,3,11
13000,5,3,11
14000,5,3,11
15000,5,3,12
16000,5,3,13
17000,5,3,16
18000,5,3,16
19000,5,3,17
20000,5,3,17
21000,5,4,18
22000,5,4,19
23000,5,4,21
24000,6,5,22
25000,6,5,23
26000,6,6,23
27000,6,7,25
28000,7,8,28
29000,8,8,30
30000,8,8,31
31000,8,8,32
32000,9,8,32
33000,9,8,33
34000,10,9,33
35000,10,9,38
36000,10,9,38
37000,11,9,39
38000,11,10,40
39000,12,10,41
40000,12,10,42
41000,12,10,45
42000,12,10,47
43000,12,12,50
44000,12,13,50
45000,14,13,52
46000,14,14,54
47000,14,14,54
48000,14,14,54
49000,14,15,55
50000,14,15,55
51000,14,15,55
52000,14,15,56
53000,14,15,56
54000,14,15,56
55000,14,16,57
56000,14,18,57
57000,15,18,58
58000,15,18,58
59000,15,19,60
60000,15,19,60
61000,16,19,60
62000,16,20,61
63000,17,21,61
64000,17,21,63
65000,17,22,63
66000,18,22,64
67000,19,22,65
68000,19,22,67
69000,19,22,67
70000,20,23,67
71000,20,23,69
72000,20,23,70
73000,20,24,70
74000,20,24,70
75000,21,24,71
76000,22,24,72
77000,23,25,73
78000,23,25,75
79000,23,25,75
80000,23,26,75
81000,24,26,78
82000,24,26,78
83000,24,26,78
84000,25,27,78
85000,25,27,80
86000,25,27,80
87000,25,27,80
88000,25,27,82
89000,25,28,82
90000,26,28,83
91000,26,28,85
92000,26,28,86
93000,26,28,87
94000,26,29,87
95000,26,29,89
96000,26,30,89
97000,26,30,92
98000,26,30,92
99000,26,30,92
100000,26,30,93
