# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,1
3000,2,0,1
4000,3,0,3
5000,3,1,4
6000,3,1,7
7000,3,1,7
8000,4,2,8
9000,4,3,11
10000,4,3,11
11000,4,3,13
12000,4,3,13
13000,5,3,14
14000,5,3,15
15000,6,3,15
16000,6,5,16
17000,6,5,18
18000,6,5,18
19000,6,5,19
20000,6,5,19
21000,6,5,21
22000,6,5,23
23000,6,5,23
24000,6,5,24
25000,6,5,25
26000,6,5,25
27000,6,6,27
28000,6,6,28
29000,6,7,28
30000,6,9,31
31000,6,9,31
32000,6,9,32
33000,6,10,34
34000,7,11,35
35000,8,11,35
36000,9,11,39
37000,9,11,41
38000,9,12,41
39000,9,13,42
40000,9,13,43
41000,9,13,45
42000,10,13,46
43000,10,13,46
44000,12,14,47
45000,12,14,48
46000,13,15,48
47000,13,15,49
48000,13,16,50
49000,13,17,52
50000,13,17,53
51000,13,17,53
52000,13,18,55
53000,13,19,55
54000,13,19,55
55000,13,19,57
56000,15,19,59
57000,15,19,60
58000,16,19,61
59000,16,19,62
60000,16,19,62
61000,18,20,62
62000,18,20,63
63000,18,20,64
64000,18,20,64
65000,18,21,66
66000,18,21,67
67000,18,21,67
68000,19,21,67
69000,19,21,67
70000,20,21,67
71000,20,21,67
72000,20,22,67
73000,20,22,69
74000,20,23,69
75000,21,23,70
76000,21,23,72
77000,22,23,72
78000,23,23,72
79000,23,23,73
80000,24,23,73
81000,25,23,74
82000,25,24,74
83000,26,24,74
84000,26,24,77
85000,26,24,79
86000,27,24,79
87000,27,24,80
88000,28,25,80
89000,29,26,81
90000,29,26,82
91000,29,26,82
92000,29,26,82
93000,29,26,83
94000,30,26,84
95000,30,26,84
96000,30,26,86
97000,30,26,89
98000,31,26,89
99000,31,26,89
100000,33,26,91
