# clock,collected_food,avarage per 100 steps
1000,0,0
2000,4,2
3000,7,2.33333
4000,10,2.5
5000,17,3.4
6000,21,3.5
7000,26,3.71429
8000,30,3.75
9000,35,3.88889
10000,39,3.9
11000,43,3.90909
12000,49,4.08333
13000,52,4
14000,57,4.07143
15000,60,4
16000,67,4.1875
17000,68,4
18000,74,4.11111
19000,79,4.15789
20000,84,4.2
21000,90,4.28571
22000,94,4.27273
23000,101,4.3913
24000,107,4.45833
25000,110,4.4
26000,115,4.42308
27000,119,4.40741
28000,123,4.39286
29000,129,4.44828
30000,131,4.36667
31000,136,4.3871
32000,142,4.4375
33000,146,4.42424
34000,152,4.47059
35000,156,4.45714
36000,160,4.44444
37000,165,4.45946
38000,170,4.47368
39000,175,4.48718
40000,180,4.5
41000,186,4.53659
42000,190,4.52381
43000,196,4.55814
44000,200,4.54545
45000,203,4.51111
46000,208,4.52174
47000,211,4.48936
48000,216,4.5
49000,220,4.4898
50000,224,4.48
51000,229,4.4902
52000,232,4.46154
53000,233,4.39623
54000,242,4.48148
55000,245,4.45455
56000,252,4.5
57000,257,4.50877
58000,261,4.5
59000,266,4.50847
60000,271,4.51667
61000,275,4.5082
62000,279,4.5
63000,285,4.52381
64000,289,4.51562
65000,292,4.49231
66000,299,4.5303
67000,302,4.50746
68000,308,4.52941
69000,315,4.56522
70000,318,4.54286
71000,323,4.5493
72000,327,4.54167
73000,335,4.58904
74000,339,4.58108
75000,341,4.54667
76000,345,4.53947
77000,349,4.53247
78000,354,4.53846
79000,357,4.51899
80000,363,4.5375
81000,366,4.51852
82000,373,4.54878
83000,374,4.50602
84000,379,4.5119
85000,383,4.50588
86000,388,4.51163
87000,394,4.52874
88000,395,4.48864
89000,401,4.50562
90000,403,4.47778
91000,408,4.48352
92000,412,4.47826
93000,418,4.49462
94000,420,4.46809
95000,428,4.50526
96000,431,4.48958
97000,434,4.47423
98000,438,4.46939
99000,445,4.49495
100000,451,4.51
