# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,1,0,0
4000,1,0,0
5000,1,0,0
6000,3,0,0
7000,3,0,0
8000,3,0,0
9000,3,0,0
10000,3,0,0
11000,5,0,0
12000,5,0,0
13000,5,0,0
14000,6,0,0
15000,6,0,0
16000,7,0,0
17000,7,0,0
18000,9,0,0
19000,11,0,0
20000,11,0,0
21000,12,0,0
22000,12,0,0
23000,12,0,0
24000,13,0,0
25000,13,0,0
26000,14,0,0
27000,15,0,0
28000,15,0,0
29000,15,0,0
30000,16,0,0
31000,17,0,0
32000,17,0,0
33000,18,0,0
34000,18,0,0
35000,18,0,0
36000,18,0,0
37000,18,0,0
38000,19,0,0
39000,20,0,0
40000,21,0,0
41000,22,0,0
42000,22,0,0
43000,23,0,0
44000,24,0,0
45000,24,0,0
46000,25,0,0
47000,25,0,0
48000,25,0,0
49000,25,0,0
50000,26,0,0
51000,26,0,0
52000,26,0,0
53000,26,0,0
54000,27,0,0
55000,28,0,0
56000,29,0,0
57000,29,0,0
58000,30,0,0
59000,30,0,0
60000,30,0,0
61000,30,0,0
62000,30,0,0
63000,30,0,0
64000,30,0,0
65000,30,0,0
66000,30,0,0
67000,30,0,0
68000,30,0,0
69000,30,0,0
70000,30,0,0
71000,30,0,0
72000,31,0,0
73000,32,0,0
74000,32,0,0
75000,33,0,0
76000,33,0,0
77000,33,0,0
78000,33,0,0
79000,33,0,0
80000,33,0,0
81000,34,0,0
82000,35,0,0
83000,35,0,0
84000,35,0,0
85000,36,0,0
86000,37,0,0
87000,37,0,0
88000,37,0,0
89000,38,0,0
90000,38,0,0
91000,38,0,0
92000,38,0,0
93000,39,0,0
94000,39,0,0
95000,39,0,0
96000,41,0,0
97000,41,0,0
98000,41,0,0
99000,42,0,0
100000,42,0,0
101000,43,0,0
102000,44,0,0
103000,45,0,0
104000,45,0,0
105000,45,0,0
106000,45,0,0
107000,45,0,0
108000,45,0,0
109000,45,0,0
110000,45,0,0
111000,45,0,0
112000,46,0,0
113000,47,0,0
114000,47,0,0
115000,48,0,0
116000,48,0,0
117000,49,0,0
118000,50,0,0
119000,50,0,0
120000,50,0,0
121000,52,0,0
122000,52,0,0
123000,54,0,0
124000,54,0,0
125000,54,0,0
126000,54,0,0
127000,54,0,0
128000,54,0,0
129000,54,0,0
130000,56,0,0
131000,56,0,0
132000,56,0,0
133000,57,0,0
134000,58,0,0
135000,58,0,0
136000,59,0,0
137000,59,0,0
138000,59,0,0
139000,60,0,0
140000,61,0,0
141000,61,0,0
142000,61,0,0
143000,61,0,0
144000,62,0,0
145000,62,0,0
146000,62,0,0
147000,63,0,0
148000,64,0,0
149000,64,0,0
150000,64,0,0
151000,64,0,0
152000,65,0,0
153000,65,0,0
154000,65,0,0
155000,66,0,0
156000,67,0,0
157000,67,0,0
158000,67,0,0
159000,68,0,0
160000,68,0,0
161000,68,0,0
162000,69,0,0
163000,69,0,0
164000,69,0,0
165000,69,0,0
166000,70,0,0
167000,72,0,0
168000,73,0,0
169000,73,0,0
170000,73,0,0
171000,74,0,0
172000,75,0,0
173000,75,0,0
174000,75,0,0
175000,76,0,0
176000,78,0,0
177000,78,0,0
178000,78,0,0
179000,80,0,0
180000,80,0,0
181000,80,0,0
182000,80,0,0
183000,81,0,0
184000,83,0,0
185000,83,0,0
186000,84,0,0
187000,84,0,0
188000,85,0,0
189000,85,0,0
190000,86,0,0
191000,86,0,0
192000,86,0,0
193000,86,0,0
194000,87,0,0
195000,87,0,0
196000,87,0,0
197000,88,0,0
198000,88,0,0
199000,88,0,0
200000,90,0,0
201000,91,0,0
202000,92,0,0
203000,93,0,0
204000,93,0,0
205000,94,0,0
206000,95,0,0
207000,95,0,0
208000,95,0,0
209000,95,0,0
210000,95,0,0
211000,95,0,0
212000,95,0,0
213000,95,0,0
214000,95,0,0
215000,96,0,0
216000,96,0,0
217000,96,0,0
218000,98,0,0
219000,98,0,0
220000,99,0,0
221000,99,0,0
222000,100,0,0
223000,100,0,0
224000,100,0,0
225000,100,0,0
226000,102,0,0
227000,102,0,0
228000,103,0,0
229000,104,0,0
230000,104,0,0
231000,105,0,0
232000,106,0,0
233000,106,0,0
234000,107,0,0
235000,109,0,0
236000,110,0,0
237000,110,0,0
238000,111,0,0
239000,111,0,0
240000,111,0,0
241000,111,0,0
242000,113,0,0
243000,114,0,0
244000,114,0,0
245000,114,0,0
246000,116,0,0
247000,117,0,0
248000,117,0,0
249000,118,0,0
250000,119,0,0
251000,119,0,0
252000,119,0,0
253000,119,0,0
254000,120,0,0
255000,121,0,0
256000,121,0,0
257000,122,0,0
258000,123,0,0
259000,124,0,0
260000,126,0,0
261000,127,0,0
262000,127,0,0
263000,127,0,0
264000,128,0,0
265000,129,0,0
266000,129,0,0
267000,129,0,0
268000,130,0,0
269000,130,0,0
270000,130,0,0
271000,130,0,0
272000,131,0,0
273000,131,0,0
