# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,1,0,0
3000,3,0,0
4000,5,0,0
5000,8,0,0
6000,9,0,0
7000,12,0,0
8000,13,0,0
9000,15,0,0
10000,17,0,0
11000,18,0,0
12000,19,0,0
13000,21,0,0
14000,25,0,0
15000,27,0,0
16000,29,0,0
17000,30,0,0
18000,32,0,0
19000,35,0,0
20000,39,0,0
21000,39,0,0
22000,39,0,0
23000,41,0,0
24000,43,0,0
25000,45,0,0
26000,46,0,0
27000,48,0,0
28000,49,0,0
29000,52,0,0
30000,53,0,0
31000,54,0,0
32000,56,0,0
33000,56,0,0
34000,60,0,0
35000,61,0,0
36000,62,0,0
37000,63,0,0
38000,67,0,0
39000,69,0,0
40000,70,0,0
41000,73,0,0
42000,75,0,0
43000,78,0,0
44000,81,0,0
45000,83,0,0
46000,85,0,0
47000,89,0,0
48000,90,0,0
49000,93,0,0
50000,97,0,0
51000,97,0,0
52000,97,0,0
53000,100,0,0
54000,105,0,0
55000,107,0,0
56000,107,0,0
57000,110,0,0
58000,112,0,0
59000,114,0,0
60000,117,0,0
61000,119,0,0
62000,121,0,0
63000,122,0,0
64000,124,0,0
65000,126,0,0
66000,128,0,0
67000,129,0,0
68000,132,0,0
69000,134,0,0
70000,136,0,0
71000,138,0,0
72000,140,0,0
73000,141,0,0
74000,143,0,0
75000,144,0,0
76000,147,0,0
77000,152,0,0
78000,152,0,0
79000,153,0,0
80000,158,0,0
81000,159,0,0
82000,159,0,0
83000,161,0,0
84000,162,0,0
85000,165,0,0
86000,167,0,0
87000,167,0,0
88000,169,0,0
89000,170,0,0
90000,172,0,0
91000,174,0,0
92000,175,0,0
93000,178,0,0
94000,179,0,0
95000,180,0,0
96000,181,0,0
97000,184,0,0
98000,186,0,0
99000,186,0,0
100000,187,0,0
101000,188,0,0
102000,191,0,0
103000,192,0,0
104000,195,0,0
105000,196,0,0
106000,200,0,0
107000,200,0,0
108000,203,0,0
109000,206,0,0
110000,210,0,0
111000,210,0,0
112000,213,0,0
113000,217,0,0
114000,219,0,0
115000,221,0,0
116000,222,0,0
117000,224,0,0
118000,224,0,0
119000,226,0,0
120000,228,0,0
121000,230,0,0
122000,232,0,0
123000,233,0,0
124000,234,0,0
125000,236,0,0
126000,240,0,0
127000,242,0,0
128000,242,0,0
129000,243,0,0
130000,244,0,0
131000,245,0,0
132000,250,0,0
133000,250,0,0
134000,253,0,0
135000,253,0,0
136000,255,0,0
137000,258,0,0
138000,259,0,0
139000,261,0,0
140000,264,0,0
141000,265,0,0
142000,269,0,0
143000,270,0,0
144000,271,0,0
145000,271,0,0
146000,272,0,0
147000,273,0,0
148000,276,0,0
149000,276,0,0
150000,279,0,0
151000,281,0,0
152000,283,0,0
153000,284,0,0
154000,285,0,0
155000,287,0,0
156000,291,0,0
157000,293,0,0
158000,295,0,0
159000,297,0,0
160000,299,0,0
161000,301,0,0
162000,302,0,0
163000,303,0,0
164000,307,0,0
165000,308,0,0
166000,311,0,0
167000,312,0,0
168000,316,0,0
169000,318,0,0
170000,319,0,0
171000,321,0,0
172000,325,0,0
173000,327,0,0
174000,328,0,0
175000,331,0,0
176000,332,0,0
177000,333,0,0
178000,333,0,0
179000,335,0,0
180000,337,0,0
181000,340,0,0
182000,342,0,0
183000,346,0,0
184000,349,0,0
185000,353,0,0
186000,354,0,0
187000,356,0,0
188000,356,0,0
189000,359,0,0
190000,362,0,0
191000,364,0,0
192000,368,0,0
193000,371,0,0
194000,373,0,0
195000,375,0,0
196000,377,0,0
197000,378,0,0
198000,381,0,0
199000,381,0,0
200000,382,0,0
201000,385,0,0
202000,386,0,0
203000,387,0,0
204000,388,0,0
205000,390,0,0
206000,391,0,0
207000,393,0,0
208000,394,0,0
209000,396,0,0
210000,396,0,0
211000,396,0,0
212000,398,0,0
213000,400,0,0
214000,401,0,0
215000,407,0,0
216000,407,0,0
217000,410,0,0
218000,410,0,0
219000,412,0,0
220000,415,0,0
221000,418,0,0
222000,420,0,0
223000,421,0,0
224000,424,0,0
225000,426,0,0
226000,430,0,0
227000,431,0,0
228000,433,0,0
229000,434,0,0
230000,436,0,0
231000,438,0,0
232000,438,0,0
233000,439,0,0
234000,441,0,0
235000,444,0,0
236000,446,0,0
237000,449,0,0
238000,450,0,0
239000,453,0,0
240000,454,0,0
241000,458,0,0
242000,458,0,0
243000,461,0,0
244000,464,0,0
245000,465,0,0
246000,466,0,0
247000,467,0,0
248000,468,0,0
249000,470,0,0
250000,473,0,0
251000,474,0,0
252000,476,0,0
253000,478,0,0
254000,479,0,0
255000,482,0,0
256000,484,0,0
257000,486,0,0
258000,488,0,0
259000,490,0,0
260000,492,0,0
261000,494,0,0
262000,496,0,0
263000,496,0,0
264000,499,0,0
265000,504,0,0
266000,506,0,0
267000,507,0,0
268000,509,0,0
269000,511,0,0
270000,513,0,0
271000,515,0,0
272000,515,0,0
273000,518,0,0
274000,522,0,0
275000,523,0,0
276000,525,0,0
277000,526,0,0
278000,527,0,0
279000,527,0,0
280000,529,0,0
281000,530,0,0
282000,531,0,0
283000,532,0,0
284000,533,0,0
285000,534,0,0
286000,537,0,0
287000,539,0,0
288000,541,0,0
289000,541,0,0
290000,543,0,0
291000,545,0,0
292000,547,0,0
293000,550,0,0
294000,552,0,0
