# clock,collected_food,avarage per 100 steps
1000,0,0
2000,5,2.5
3000,8,2.66667
4000,10,2.5
5000,12,2.4
6000,16,2.66667
7000,18,2.57143
8000,23,2.875
9000,26,2.88889
10000,28,2.8
11000,33,3
12000,36,3
13000,42,3.23077
14000,46,3.28571
15000,49,3.26667
16000,55,3.4375
17000,59,3.47059
18000,64,3.55556
19000,68,3.57895
20000,73,3.65
21000,78,3.71429
22000,82,3.72727
23000,87,3.78261
24000,91,3.79167
25000,96,3.84
26000,101,3.88462
27000,109,4.03704
28000,111,3.96429
29000,118,4.06897
30000,124,4.13333
31000,128,4.12903
32000,134,4.1875
33000,138,4.18182
34000,143,4.20588
35000,148,4.22857
36000,152,4.22222
37000,157,4.24324
38000,162,4.26316
39000,167,4.28205
40000,169,4.225
41000,176,4.29268
42000,177,4.21429
43000,184,4.27907
44000,191,4.34091
45000,196,4.35556
46000,199,4.32609
47000,204,4.34043
48000,210,4.375
49000,214,4.36735
50000,220,4.4
51000,223,4.37255
52000,229,4.40385
53000,234,4.41509
54000,240,4.44444
55000,245,4.45455
56000,251,4.48214
57000,258,4.52632
58000,261,4.5
59000,266,4.50847
60000,274,4.56667
61000,278,4.55738
62000,285,4.59677
63000,288,4.57143
64000,292,4.5625
65000,298,4.58462
66000,302,4.57576
67000,305,4.55224
68000,311,4.57353
69000,315,4.56522
70000,320,4.57143
71000,320,4.50704
72000,328,4.55556
73000,330,4.52055
74000,335,4.52703
75000,342,4.56
76000,346,4.55263
77000,351,4.55844
78000,356,4.5641
79000,358,4.53165
80000,362,4.525
81000,365,4.50617
82000,370,4.5122
83000,376,4.53012
84000,379,4.5119
85000,382,4.49412
86000,387,4.5
87000,392,4.50575
88000,394,4.47727
89000,400,4.49438
90000,405,4.5
91000,409,4.49451
92000,416,4.52174
93000,419,4.50538
94000,424,4.51064
95000,429,4.51579
96000,435,4.53125
97000,439,4.52577
98000,445,4.54082
99000,448,4.52525
100000,454,4.54
